latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.44683,30.1719,310,0.42,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.2,2.06,N
51.46764,29.8859,324.09,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.04,3.31,N
51.46658,29.89164,322.95,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.24,2.96,N
51.41352,30.17488,299.7,0.42,0.37,2022-09-04,0022,N,nominal,2.0NRT,277.94,0.73,N
51.46432,29.88433,300.35,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.88,1.74,N
51.46326,29.89006,298.14,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281.94,2,N
51.46112,29.90155,304.08,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281.15,1.41,N
51.45673,29.90572,324.53,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281.98,1.41,N
51.4578,29.89997,298.02,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281,1.41,N
51.45341,29.90414,324.23,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.63,2.86,N
51.45769,29.88117,295.96,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281.31,1.72,N
51.45662,29.8869,312.84,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.94,1.76,N
51.45009,29.90257,326.13,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.85,2.86,N
51.4533,29.88532,297.26,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.58,1.76,N
51.44677,29.90099,335.98,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.42,4.4,N
51.45105,29.87801,310.5,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.5,3.27,N
51.44998,29.88375,316.27,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.14,1.92,N
51.44891,29.88949,299.53,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.51,1.92,N
51.44784,29.89524,300.29,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.66,4.4,N
51.44773,29.87644,326.66,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.37,3.27,N
51.44666,29.88218,331.22,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.2,1.92,N
51.44452,29.89366,351.61,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.06,4.4,N
51.44345,29.89941,332.23,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.69,4.4,N
51.44559,29.88791,300.57,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.64,1.92,N
51.4412,29.89209,332.4,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,277.56,3.91,N
51.44334,29.8806,304.68,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,279.49,1.62,N
51.44227,29.88634,308.98,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,278.45,1.62,N
51.47394,29.53956,322.6,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.9,2.03,N
51.47291,29.54525,326.19,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.09,2.03,N
51.47497,29.53388,317.93,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.72,2.2,N
51.47085,29.55659,308.97,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.89,2.21,N
51.47167,29.53234,318.58,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.29,2.2,N
